City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
518,Olga,RU,43.7444,135.2892,6.48,83,5,6.44,clear sky
519,Paita,PE,-5.0892,-81.1144,70.88,77,100,16.69,overcast clouds
520,Shubarkuduk,KZ,49.1447,56.4872,26.55,91,99,6.58,overcast clouds
521,Bourg-En-Bresse,FR,46.1667,5.1667,49.82,97,93,2.57,overcast clouds
522,North Bend,US,43.4065,-124.2243,53.51,91,100,16.11,mist
523,Winnemucca,US,40.973,-117.7357,41.05,81,0,6.91,clear sky
524,Antalaha,MG,-14.9003,50.2788,74.39,88,71,4.23,light rain
525,Qandala,SO,11.472,49.8728,74.93,78,10,5.7,clear sky
526,Tsumeb,NA,-19.2333,17.7167,72.18,33,58,6.33,broken clouds
527,Asyut,EG,27.181,31.1837,54.39,62,0,6.26,clear sky
528,Eureka,US,40.8021,-124.1637,53.2,88,100,5.01,overcast clouds
529,Puliyankudi,IN,9.1667,77.4167,70.66,89,25,2.37,scattered clouds
530,Margate,GB,51.3813,1.3862,52.9,83,100,8.01,overcast clouds
531,Mehriz,IR,31.5917,54.4318,32.5,74,28,4.05,scattered clouds
532,Shimoda,JP,34.6667,138.95,42.1,75,100,4.09,overcast clouds
533,Thomasville,US,35.8826,-80.082,59.09,56,3,6.46,clear sky
534,Sabang,ID,5.8933,95.3214,80.29,77,96,9.13,overcast clouds
535,La Ligua,CL,-32.4524,-71.2311,69.01,65,0,7.14,clear sky
536,Moose Factory,CA,51.2585,-80.6094,3.18,85,0,4.61,clear sky
537,Manaus,BR,-3.1019,-60.025,81.1,89,75,5.75,broken clouds
538,Rafai,CF,4.95,23.9167,72.59,39,9,4.21,clear sky
539,Adet,ET,11.2644,37.4888,54.52,81,28,4.47,scattered clouds
540,Pozo Colorado,PY,-23.4923,-58.7972,79.79,43,0,6.44,clear sky
541,Manyoni,TZ,-5.7467,34.8382,63.75,68,96,3.47,overcast clouds
542,Burgeo,CA,47.6167,-57.6152,20.71,72,100,5.79,overcast clouds
543,Shelburne,CA,44.0787,-80.2041,34.25,97,100,6.87,light snow
544,Abeche,TD,13.8292,20.8324,64.8,26,38,10.63,scattered clouds
545,Kanadey,RU,53.1679,47.5264,26.78,97,100,7.11,light snow
546,Bridlington,GB,54.0831,-0.1919,51.89,84,100,28.32,overcast clouds
547,Whitehorse,CA,60.7161,-135.0538,13.1,85,75,1.99,broken clouds
548,Wuhu,CN,31.3366,118.3755,43.03,64,18,6.64,few clouds
549,Sagaing,MM,21.8787,95.9797,55.58,88,20,0.0,few clouds
550,Forbes,AU,-33.3833,148.0167,74.91,44,0,14.27,clear sky
551,Swan Hill,AU,-35.3378,143.5544,70.63,37,0,9.84,clear sky
552,Atambua,ID,-9.1061,124.8925,76.64,85,93,9.73,overcast clouds
