City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
524,Sigulda,LV,6.76,overcast clouds,57.1519,24.8647,Pils
529,Zyryanovsk,KZ,21.65,light snow,49.7386,84.2719,У Брилина
530,Leh,IN,6.98,broken clouds,34.1667,77.5833,Kang Lha Chen
531,Holeby,DK,44.06,overcast clouds,54.7115,11.4642,Factory Lodge
534,Meiktila,MM,65.17,clear sky,20.8667,95.8667,Honey Hotel
538,San-Pedro,CI,77.85,broken clouds,4.7485,-6.6363,Hôtel La Cité De San Pédro
540,Camacha,PT,58.42,few clouds,33.0833,-16.3333,Praia Dourada
541,Pato Branco,BR,64.38,clear sky,-26.2286,-52.6706,Hotel San Pietro
542,Qaqortoq,GL,7.07,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
543,Cortez,US,32.76,scattered clouds,37.3489,-108.5859,BEST WESTERN Turquoise Inn & Suites
545,Puerto Escondido,MX,77.29,clear sky,15.85,-97.0667,Hotel Barlovento
546,Polson,US,30.78,broken clouds,47.6936,-114.1632,Bayview Inn
547,Pacifica,US,59.13,haze,37.6138,-122.4869,Holiday Inn Express & Suites Pacifica
550,Richards Bay,ZA,66.27,light rain,-28.783,32.0377,Protea Hotel
552,Anadyr,RU,-4.52,overcast clouds,64.75,177.4833,Гостевой дом
554,Andenes,NO,26.58,few clouds,69.3143,16.1194,Andrikken hotell
556,Pryazha,RU,-4.79,overcast clouds,61.6926,33.6216,Пряжа
557,Inhambane,MZ,74.84,light rain,-23.865,35.3833,Hotel de Inhambane
558,Nikolayevsk-Na-Amure,RU,-3.89,broken clouds,53.1406,140.73,Север
559,Ambulu,ID,80.26,broken clouds,-8.345,113.6058,Hotel Ambulu
560,Torzhok,RU,-16.58,scattered clouds,57.0436,34.9622,Тверца
561,Penzance,GB,54.28,light rain,50.1186,-5.5371,The Abbey Hotel
563,Salisbury,GB,54.68,overcast clouds,51.0693,-1.7957,The Cathedral Hotel
566,Mercedes,AR,80.78,clear sky,-34.6515,-59.4307,Gran Hotel Mercedes
567,Puerto Ayacucho,VE,79.11,overcast clouds,5.6639,-67.6236,Hotel VENETUR Amazonas
568,Marigot,MF,78.58,few clouds,18.0667,-63.0833,Centr' Hotel
570,Valkeakoski,FI,16.27,overcast clouds,61.2642,24.0312,Hotelli Waltikka
572,Axim,GH,78.31,few clouds,4.8699,-2.2405,Axim Beach Hotel
